  1.000	           1.497100 
   2.000	           1.452
   3.000	           1.379
   4.000	           1.282
   5.000	           1.165
   6.000	           1.034
   7.000	           0.893
   8.000	           0.749
   9.000	           0.607
  10.000	           0.473
  11.000	           0.352
  12.000	           0.245
  13.000	           0.158
  14.000	           0.089
  15.000	           0.041
  16.000	           0.013
  17.000	           0.003
  18.000	           0.008
  19.000	           0.026
  20.000	           0.055
  21.000	           0.090
  22.000	           0.128
  23.000	           0.168
  24.000	           0.205
  25.000	           0.239
  26.000	           0.267
  27.000	           0.289
  28.000	           0.304
  29.000	           0.311
  30.000	           0.312
  31.000	           0.307
  32.000	           0.296
  33.000	           0.281
  34.000	           0.262
  35.000	           0.242
  36.000	           0.219
  37.000	           0.197
  38.000	           0.175
  39.000	           0.153
  40.000	           0.133
  41.000	           0.114
  42.000	           0.097
  43.000	           0.082
  44.000	           0.068
  45.000	           0.057
  46.000	           0.046
  47.000	           0.037
  48.000	           0.030
  49.000	           0.023
  50.000	           0.018
  51.000	           0.013
  52.000	           0.010
  53.000	           0.007
  54.000	           0.005
  55.000	           0.004
  56.000	           0.003
  57.000	           0.003
  58.000	           0.004
  59.000	           0.006
  60.000	           0.007
