#scale time current o14 n13 c126 c125
0.78   145 4.6  1    1645  30574  4484
0.76   409 4.6  10   2866  45994  7233
0.74   692 46.0 483  10172 352654 59682
0.73   120 46.0 200  1400   66442  26222
0.72   133 46.0 61   1383  40187  10716
0.70   384 46.0 68   947   21584  13926
0.68   230 46.0 19   130   4028   2737
0.66   323 47.0 10   65    2987   1922
