#Series Time Value
Total 12:04:08 60.987953
Total 12:04:10 57.304256
Total 12:04:12 79.106804
Total 12:04:14 76.868683
Total 12:04:16 88.221008
Total 12:04:18 89.101044
Total 12:04:20 87.366531
Total 12:04:22 100.112442
Total 12:04:24 87.17794
Total 12:04:26 113.468498
Total 12:04:28 85.601562
Total 12:04:30 108.903229
Total 12:04:32 109.532608
Total 12:04:34 91.266235
Total 12:04:36 94.077194
Total 12:04:38 97.594772
Total 12:04:40 103.321342
Total 12:04:42 108.563034
Total 12:04:44 89.235382
Total 12:04:46 90.939392
Total 12:04:48 83.761963
Total 12:04:50 85.096703
Total 12:04:52 59.062813
Total 12:04:54 59.007061
Total 12:04:56 71.365562
Total 12:04:58 46.114937
Total 12:05:00 48.378738
Total 12:05:02 37.704121
Total 12:05:04 34.691143
Total 12:05:06 37.617523
Total 12:05:08 37.51321
Total 12:05:10 23.854382
Total 12:05:12 37.273335
Total 12:05:14 31.282045
Total 12:05:16 29.612289
Total 12:05:18 18.705984
Total 12:05:20 24.089098
Total 12:05:22 18.941164
Total 12:05:24 16.21015
Total 12:05:26 10.942457
Total 12:05:28 13.198276
Total 12:05:30 8.916756
Total 12:05:32 10.953502
Total 12:05:34 12.567084
Total 12:05:36 10.656444
Total 12:05:38 17.372034
Total 12:05:40 11.949886
Total 12:05:42 17.732639
Total 12:05:44 10.508093
Total 12:05:46 5.642923
Total 12:05:48 10.10687
Total 12:05:50 12.586703
Total 12:05:52 9.901136
Total 12:05:54 2.366464
Total 12:05:56 323.087585
Total 12:05:58 323.087585
Total 12:06:00 323.087585
Total 12:06:02 323.087585
Total 12:06:04 11.215794
Total 12:06:06 12.412842
Total 12:06:08 11.652296
Total 12:06:10 13.667685
Total 12:06:12 20.777411
Total 12:06:14 22.442829
Total 12:06:16 29.346006
Total 12:06:18 22.311499
Total 12:06:20 29.920233
Total 12:06:22 22.749065
Total 12:06:24 19.970272
Total 12:06:26 36.322559
Total 12:06:28 13.735271
Total 12:06:30 34.957905
Total 12:06:32 18.829765
Total 12:06:34 35.625404
Total 12:06:36 47.375439
Total 12:06:38 41.149727
Total 12:06:40 24.175808
Total 12:06:42 24.287504
Total 12:06:44 34.673405
Total 12:06:46 30.863779
Total 12:06:48 32.823303
Total 12:06:50 46.723595
Total 12:06:52 30.114182
Total 12:06:54 35.268177
Total 12:06:56 34.944096
Total 12:06:58 51.98156
Total 12:07:00 48.036976
Total 12:07:02 40.876465
Total 12:07:04 52.841274
Total 12:07:06 37.858673
Total 12:07:08 42.1703
Total 12:07:10 41.81015
Total 12:07:12 30.722883
Total 12:07:14 50.35487
Total 12:07:16 35.327934
Total 12:07:18 43.007324
Total 12:07:20 53.906307
Total 12:07:22 40.178997
Total 12:07:24 40.038769
Total 12:07:26 28.654034
Total 12:07:28 28.285471
Total 12:07:30 32.660847
Total 12:07:32 25.907293
Total 12:07:34 20.531691
Total 12:07:36 20.061125
Total 12:07:38 18.56411
Total 12:07:40 20.600113
Total 12:07:42 22.68252
Total 12:07:44 14.124477
Total 12:07:46 14.956017
Total 12:07:48 8.437808
Total 12:07:50 6.523834
Total 12:07:52 4.866745
Total 12:07:54 7.216057
Total 12:07:56 9.214562
Total 12:07:58 3.175653
Total 12:08:00 5.057593
Total 12:08:02 7.040693
Total 12:08:04 4.90147
Total 12:08:06 5.775596
Total 12:08:08 2.108777
Total 12:08:10 2.705067
Total 12:08:12 0
Total 12:08:14 0
Total 12:08:16 0
Total 12:08:18 0
Total 12:08:20 11.726427
