#							
#							
#	Nuclide	A	Z	N	t1/2	Low Energy Yields [ions/sec]	Re-Accelerated Energy Yields [ions/sec]
#	CategoryFilter-StringFilter	Hidden-StringFilter	Hidden-StringFilter	Hidden-StringFilter			
	118Ag	118	47	66	4 s	8.00E+03	1.10E+03
	118Cd	118	48	65	50.3 m	7.30E+03	1.10E+03
	119Pd	119	46	65	1.76 s	2.30E+02	2.60E+01
	119Ag	119	47	65	2.1 s	5.20E+03	6.20E+02
	119Cd-m	119	48	68	2.2 m	2.40E+03	3.70E+02
	119Cd	119	48	67	2.69 m	2.40E+03	3.70E+02
	120Ag	120	47	67	1.23 s	2.10E+03	2.10E+02
	120Cd	120	48	67	50.8 s	4.20E+03	6.50E+02
	121Ag	121	47	69	0.78 s	5.10E+02	3.90E+01
	121Cd	121	48	68	13.5 s	2.60E+03	3.90E+02
	122Cd	122	48	68	5.3 s	2.30E+03	3.20E+02
	123Cd	123	48	68	2.09 s	9.00E+02	1.10E+02
	124Cd	124	48	72	1.24 s	3.00E+02	3.00E+01
	124In	124	49	71	3.18 s	2.60E+02	3.30E+01
	126In	126	49	72	1.63 s	2.20E+02	2.40E+01
	126Sn	126	50	71	100000 y	4.80E+02	7.40E+01
	127Sn-m	127	50	72	4.15 m	7.70E+02	1.20E+02
	127Sn	127	50	75	2.12 h	1.90E+03	2.90E+02
	128Sn	128	50	75	59.1 m	4.70E+03	7.30E+02
	128Sb-m	128	51	74	10.1 m	2.60E+02	4.00E+01
	129Sn-m	129	50	74	6.9 m	3.20E+03	5.00E+02
	129Sn	129	50	73	2.4 m	7.80E+03	1.20E+03
	129Sb	129	51	76	4.4 h	4.60E+03	7.20E+02
	130In	130	49	76	0.29 s	2.80E+02	6.30E+00
	130Sn	130	50	75	3.7 m	9.80E+03	1.50E+03
	130Sb-m	130	51	74	6.5 m	7.60E+03	1.20E+03
	130Sb	130	51	77	38.4 m	4.40E+03	6.90E+02
	131Sn	131	50	77	39 s	8.00E+03	1.20E+03
	131Sb	131	51	76	23 m	2.70E+04	4.20E+03
	131Te-m	131	52	75	1.35 d	6.40E+03	9.90E+02
	131Te	131	52	74	25 m	1.90E+03	2.90E+02
	132Sn	132	50	78	40 s	3.70E+03	5.70E+02
	132Sb-m	132	51	77	2.8 m	1.40E+04	2.10E+03
	132Sb	132	51	76	4.2 m	1.90E+04	3.00E+03
	132Te	132	52	75	3.26 d	2.10E+04	3.30E+03
	132I	132	53	78	2.28 h	5.70E+02	8.90E+01
	133Sn	133	50	78	1.44 s	1.70E+03	1.80E+02
	133Sb	133	51	77	2.5 m	2.90E+04	4.40E+03
	133Te-m	133	52	76	55.4 m	3.50E+04	5.40E+03
	133Te	133	52	75	12.4 m	1.40E+04	2.20E+03
	133I	133	53	79	20.8 h	5.90E+03	9.20E+02
	134Sn	134	50	79	1.04 s	4.10E+02	3.70E+01
	134Sb	134	51	78	0.8 s	1.50E+04	1.20E+03
	134Te	134	52	77	42 m	6.30E+04	9.90E+03
	134I-m	134	53	76	3.7 m	1.60E+04	2.40E+03
	134I	134	53	79	52.6 m	8.90E+03	1.40E+03
	134Xe-m	134	54	78	0.29 s	7.00E+02	1.60E+01
	135Sb	135	51	78	1.71 s	3.90E+03	4.40E+02
	135Te	135	52	77	19 s	4.80E+04	7.30E+03
	135I	135	53	80	6.57 h	5.00E+04	7.80E+03
	135Xe-m	135	54	79	15.3 m	6.10E+03	9.40E+02
	135Xe	135	54	78	9.1 h	5.00E+03	7.80E+02
	136Sb	136	51	78	0.82 s	8.20E+02	6.50E+01
	136Te	136	52	77	17.5 s	2.50E+04	3.70E+03
	136I-m	136	53	80	47 s	2.50E+04	3.90E+03
	136I	136	53	79	1.39 m	3.70E+04	5.70E+03
	137Te	137	52	79	2.5 s	6.30E+03	7.80E+02
	137I	137	53	78	24.5 s	4.20E+04	6.40E+03
	137Xe	137	54	81	3.82 m	7.00E+04	1.10E+04
	137Cs	137	55	80	30.17 y	1.90E+04	2.90E+03
	138Te	138	52	80	1.4 s	1.50E+03	1.50E+02
	138I	138	53	79	6.5 s	2.70E+04	3.90E+03
	138Xe	138	54	81	14.1 m	9.80E+04	1.50E+04
	138Cs-m	138	55	80	2.9 m	8.10E+03	1.30E+03
	138Cs	138	55	79	32.2 m	1.50E+04	2.40E+03
	139Te	139	52	79	0.58 s	2.20E+02	1.30E+01
	139I	139	53	82	2.3 s	1.10E+04	1.40E+03
	139Xe	139	54	81	39.7 s	9.50E+04	1.40E+04
	139Cs	139	55	80	9.3 m	4.90E+04	7.70E+03
	139Ba	139	56	81	1.396 h	3.90E+03	6.10E+02
	140I	140	53	81	0.86 s	3.10E+03	2.60E+02
	140Xe	140	54	80	13.6 s	6.90E+04	1.00E+04
	140Cs	140	55	79	1.06 m	7.50E+04	1.20E+04
	140Ba	140	56	82	12.75 d	1.40E+04	2.20E+03
	141I	141	53	82	0.45 s	7.50E+02	3.40E+01
	141Xe	141	54	81	1.72 s	2.70E+04	3.00E+03
	141Cs	141	55	80	24.9 s	1.00E+05	1.60E+04
	141Ba	141	56	80	18.3 m	3.00E+04	4.70E+03
	141La	141	57	83	3.9 h	1.00E+03	1.60E+02
	142Xe	142	54	83	1.22 s	9.90E+03	9.80E+02
	142Cs	142	55	82	1.8 s	6.80E+04	7.80E+03
	142Ba	142	56	81	10.7 m	7.30E+04	1.10E+04
	142La	142	57	83	1.54 h	1.10E+04	1.70E+03
	143Xe	143	54	83	0.3 s	1.10E+03	2.80E+01
	143Cs	143	55	82	1.78 s	2.00E+04	2.30E+03
	143Ba	143	56	82	14.3 s	1.20E+05	1.80E+04
	143La	143	57	84	14.1 m	2.80E+04	4.40E+03
	143Ce	143	58	83	1.38 d	4.40E+02	6.90E+01
	144Xe	144	54	83	1.2 s	3.10E+02	3.10E+01
	144Cs	144	55	82	1.01 s	1.50E+04	1.30E+03
	144Ba	144	56	84	11.4 s	9.10E+04	1.30E+04
	144La	144	57	83	40.7 s	5.00E+04	7.70E+03
	144Ce	144	58	82	284.6 d	2.70E+03	4.20E+02
	145Cs	145	55	82	0.59 s	4.00E+03	2.40E+02
	145Ba	145	56	85	4 s	5.60E+04	7.50E+03
	145La	145	57	84	24 s	6.80E+04	1.00E+04
	145Ce	145	58	83	3 m	9.40E+03	1.50E+03
	146Cs	146	55	83	0.322 s	7.00E+02	1.90E+01
	146Ba	146	56	85	2.2 s	2.60E+04	3.20E+03
	146La	146	57	84	6.3 s	6.50E+04	9.20E+03
	146Ce	146	58	83	13.5 m	2.70E+04	4.20E+03
	146Pr	146	59	85	24.2 m	8.30E+02	1.30E+02
	147Ba	147	56	85	0.892 s	6.80E+03	5.60E+02
	147La	147	57	84	4.02 s	5.20E+04	7.10E+03
	147Ce	147	58	83	56 s	5.20E+04	7.90E+03
	147Pr	147	59	85	13.4 m	4.90E+03	7.60E+02
	148Ba	148	56	85	0.64 s	1.30E+03	8.50E+01
	148La	148	57	86	1.1 s	2.70E+04	2.50E+03
	148Ce	148	58	85	56 s	6.30E+04	9.80E+03
	148Pr	148	59	84	2.27 m	1.50E+04	2.30E+03
	149La	149	57	86	1.1 s	6.30E+03	5.90E+02
	149Ce	149	58	85	5.2 s	4.10E+04	5.70E+03
	149Pr	149	59	86	2.3 m	2.50E+04	3.90E+03
	149Nd	149	60	85	1.72 h	1.60E+03	2.40E+02
	150La	150	57	85	0.608 s	1.50E+03	9.30E+01
	150Ce	150	58	86	4.4 s	2.50E+04	3.50E+03
	150Pr	150	59	85	6.2 s	3.50E+04	5.00E+03
	151Ce	151	58	87	1 s	7.90E+03	7.00E+02
	151Pr	151	59	86	22.4 s	2.90E+04	4.40E+03
	151Nd	151	60	86	12.4 m	1.50E+04	2.40E+03
	151Pm	151	61	151	1.183 d	5.80E+02	9.00E+01
	152Ce	152	58	152	3.1 s	2.00E+03	2.60E+02
	152Pr	152	59	152	3.2 s	1.90E+04	2.50E+03
	152Nd	152	60	152	11.4 m	2.20E+04	3.50E+03
	152Pm-m	152	61	152	7.5 m	1.60E+03	2.50E+02
	152Pm	152	61	152	4.1 m	1.60E+03	2.50E+02
	153Ce	153	58	153	1.47 s	2.80E+02	2.90E+01
	153Pr	153	59	153	4.3 s	7.00E+03	9.60E+02
	153Nd	153	60	153	28.9 s	2.20E+04	3.30E+03
	153Pm	153	61	153	5.4 m	5.90E+03	9.10E+02
	154Pr	154	59	154	2.3 s	1.40E+03	1.80E+02
	154Nd	154	60	154	25.9 s	1.10E+04	1.70E+03
	154Pm-m	154	61	154	2.7 m	6.90E+03	1.10E+03
	154Pm	154	61	154	1.7 m	8.00E+03	1.30E+03
	155Pr	155	59	155	1.12 s	3.10E+02	2.90E+01
	155Nd	155	60	155	8.9 s	6.60E+03	9.60E+02
	155Pm	155	61	155	48 s	1.20E+04	1.80E+03
	155Sm	155	62	155	22.2 m	2.60E+03	4.00E+02
	156Nd	156	60	156	5.5 s	2.80E+03	4.00E+02
	156Pm	156	61	156	26.7 s	1.20E+04	1.90E+03
	156Sm	156	62	156	9.4 h	2.70E+03	4.20E+02
	156Eu	156	63	156	15.2 d	2.70E+02	4.20E+01
	157Nd	157	60	157	2.48 s	4.80E+02	5.90E+01
	157Pm	157	61	157	10.9 s	5.40E+03	8.00E+02
	157Sm	157	62	157	8 m	7.70E+03	1.20E+03
	157Eu	157	63	157	15.13 h	9.50E+02	1.50E+02
	158Pm	158	61	158	4.8 s	1.90E+03	2.60E+02
	158Sm	158	62	158	5.5 m	6.60E+03	1.00E+03
	158Eu	158	63	158	45.9 m	4.00E+03	6.20E+02
	159Pm	159	61	159	3 s	5.50E+02	7.10E+01
	159Sm	159	62	159	11.3 s	4.80E+03	7.00E+02
	159Eu	159	63	159	18.1 m	3.50E+03	5.50E+02
	159Gd	159	64	159	18.6 h	3.30E+02	5.20E+01
	160Sm	160	62	160	9.6 s	2.30E+03	3.40E+02
	160Eu	160	63	160	38 s	4.20E+03	6.50E+02
	161Sm	161	62	161	4.78 s	6.70E+02	9.30E+01
	161Eu	161	63	161	27 s	2.90E+03	4.40E+02
	161Gd	161	64	161	3.66 m	1.60E+03	2.50E+02
	162Eu	162	63	162	11 s	1.30E+03	1.90E+02
	162Gd	162	64	162	8.4 m	1.60E+03	2.60E+02
	163Eu	163	63	163	7.6 s	4.10E+02	5.90E+01
	163Gd	163	64	163	1.13 m	1.30E+03	2.00E+02
	163Tb	163	65	163	19.5 m	3.50E+02	5.40E+01
	164Gd	164	64	164	45 s	7.00E+02	1.10E+02
	164Tb	164	65	164	3 m	4.50E+02	6.90E+01
	165Gd	165	64	165	0.705 m	2.70E+02	4.20E+01
	165Tb	165	65	165	2.1 m	4.10E+02	6.30E+01
	166Tb	166	65	166	25.1 s	2.80E+02	4.40E+01
