51	24	50	80	34	+1p	1.1E+07
55	24	50	18	34	+1n	2.4E+06
56	24	1	80	34	+2n	2.1E+05
50	25	2	50	29	p,n	2.3E+05
51	25	50	80	29	+1p	9.2E+06
52	25	2	50	29	p,n	2.3E+05
53	25	50	80	29	+1p	9.2E+06
54	25	50	80	29	+1p	9.2E+06
56	25	50	17	29	+1n	1.9E+06
57	25	10	50	29	-1p	1.2E+06
58	25	0.05	50	29	n,p	5.8E+03
52	26	1	80	24	+2p	1.5E+05
53	26	10	20	24	+1n	3.9E+05
55	26	50	18	24	+1n	1.7E+06
59	26	50	13	24	+1n	1.3E+06
60	26	0.5	80	24	+2n	7.7E+04
61	26	0.2	50	24	-2p	1.9E+04
62	26	0.2	50	24	-2p	1.9E+04
54	27	2	50	19	p,n	1.5E+05
55	27	50	80	19	+1p	6.2E+06
56	27	2	50	19	p,n	1.5E+05
57	27	50	80	19	+1p	6.2E+06
58	27	50	80	19	+1p	6.2E+06
60	27	50	12	19	+1n	9.2E+05
61	27	10	50	19	-1p	7.7E+05
62	27	20	50	19	-1p	1.5E+06
63	27	10	50	19	-1p	7.7E+05
64	27	0.05	50	19	n,p	3.9E+03
56	28	1	80	14	+2p	9.3E+04
57	28	10	16	14	+1n	1.8E+05
59	28	50	13	14	+1n	7.7E+05
63	28	50	8	14	+1n	4.9E+05
65	28	50	6	14	+1n	3.5E+05
66	28	1	80	14	+2n	9.3E+04
59	29	50	13	10	+1n	5.2E+05
61	29	50	11	10	+1n	4.2E+05
60	30	1	80	5	+2p	3.2E+04
62	30	1	80	5	+2p	3.2E+04
